input,target
"generar lista: Polinomio con 2 coeficientes fraccionarios y uno entero, de grado nueve incompleto",SUM NEG MUL VF POW y 5 E NEG VN MUL VF POW y 9 E E
generar lista: Polinomio de sexto grado completo con variable x,SUM VF MUL VF x E MUL VF POW x 2 E MUL VF POW x 3 E MUL VF POW x 4 E NEG MUL VF POW x 5 E MUL VF POW x 6 E E
"generar pseudolatex: sistema de ecuaciones de dos ecuaciones igualadas a 0, con dos incognitas",\begin{cases} - VN.x - VF.y = 0 \\- VF.x - VN.y = 0 \end{cases}
generar pseudolatex: Sistema de ecuaciones con tres ecuaciones y tres incognitas,\begin{cases} VN.y - VN.x - VF.z = VN \\- VF.z + VN.x - VN.y = VF \\- VN.x - VF.z + VF.y = VF \end{cases}
generar lista: Polinomio de primer grado,SUM NEG MUL VR x E NEG VR E
generar pseudolatex: Polinomio de grado 9,- VRx^{9} - VRx^{8} - VRx^{7} - VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR
"generar lista: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de 3er grado de 1.5, coeficiente de segundo grado de 6.3, coeficiente grado uno de 13.1 y termino independiente de 4",SUM 4 NEG MUL 6.3 POW x 2 E NEG MUL 1.5 POW x 3 E MUL 13.1 x E NEG MUL 38.3 POW x 4 E E
"generar lista: un polinomio de 4 términos,  de grado 3 completo y con constantes negativas",SUM NEG MUL VF POW x 3 E NEG MUL VF POW x 2 E NEG MUL VF x E NEG VF E
"generar lista: Sistema homogéneo de tres ecuaciones y 2 incógnitas (y,z)",CASES EQ SUM NEG MUL VN z E E 0 EQ SUM MUL VF y E NEG MUL VF z E E 0 EQ SUM NEG MUL VN y E MUL VF z E E 0 E
"generar lista: Sistema de 3 ecuaciones, teniendo cada una cuatro incognitas",CASES EQ SUM NEG MUL VN d E MUL VF c E MUL VF b E MUL VF a E E VF EQ SUM MUL VN d E MUL VN c E NEG MUL VN a E NEG MUL VF b E E VF EQ SUM NEG MUL VF c E MUL VF a E MUL VN d E MUL VF b E E VN E
"generar pseudolatex: Polinomio en variable ""y"" de décimo grado, incompleto, con 6 términos",- VNy^{3} - VC + VC.y^{6} - VNy^{10} - VNy^{5} - VNy
generar lista: Polinomio de tercer grado desordenado,SUM VN MUL VN POW x 2 E MUL VN POW x 3 E MUL VN x E E
"generar pseudolatex: Sistema de tres ecuaciones incompletas con tres incógnitas x, y, z. El sistema es homogéneo",\begin{cases} VN.z + VF.x = 0 \\- VF.y = 0 \\VN.z + VF.x = 0 \end{cases}
generar pseudolatex: Polinomio de grado tres incompleto con tres términos. Termino independiente fraccionario,VNx^{3} + VNx + VF
"generar pseudolatex: sistema de ecuaciones de 4 incognitas y 4 ecuaciones, compatible determinado, homogeneo",\begin{cases} VN.d + VN.c + VN.b - VN.a = 0 \\VN.d - VN.c - VN.b + VN.a = 0 \\- VF.d + VN.c - VN.b - VN.a = 0 \\VN.d - VN.c - VN.b + VF.a = 0 \end{cases}
"generar lista: Polinomio de grado 7 completo, con ocho términos, con coeficiente principal 3, ordenado de menor grado a mayor grado y con una mezcla de coeficientes enteros y fraccionarios",SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E MUL VR POW x 5 E MUL VR POW x 6 E MUL FRAC 3 1 POW x 7 E E
"generar pseudolatex: Polinomio de grado ocho completo, con todos los coeficientes enteros negativos y pequeños. El orden del polinomio es ascendente en potencias",- VN - VNx - VNx^{2} - VNx^{3} - VNx^{4} - VNx^{5} - VNx^{6} - VNx^{7} - VNx^{8}
generar lista: Polinomio de grado 6 con variable X,SUM NEG MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E
"generar lista: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de 3er grado de 1.5, coeficiente de grado dos de 6.3, coeficiente primer grado de 13.1 y termino independiente de 4",SUM 4 NEG MUL 6.3 POW x 2 E NEG MUL 1.5 POW x 3 E MUL 13.1 x E NEG MUL 38.3 POW x 4 E E
generar lista: Polinomio incompleto de grado 15 (variable x),SUM NEG MUL VF POW x 6 E MUL VF POW x 12 E NEG MUL VN POW x 15 E NEG MUL VN POW x 9 E MUL VN x E NEG VN MUL VF POW x 11 E MUL VN POW x 4 E E
"generar lista: Polinomio de grado siete completo, con todos sus coeficientes negativos y enteros",SUM NEG MUL VN POW x 7 E NEG MUL VN POW x 6 E NEG MUL VN POW x 5 E NEG MUL VN POW x 4 E NEG MUL VN POW x 3 E NEG MUL VN POW x 2 E NEG MUL VN x E NEG VN E
generar lista: Polinomio de noveno grado X variable,SUM NEG VR NEG MUL VR x E MUL VR POW x 2 E NEG MUL VR POW x 3 E MUL VR POW x 4 E NEG MUL VR POW x 5 E MUL VR POW x 6 E MUL VR POW x 7 E MUL VR POW x 8 E MUL VR POW x 9 E E
"generar pseudolatex: sistema de tres ecuaciones con 3 variables (x,y,z) compuesto de coeficientes enteros y fraccionarios",\begin{cases} - VF.y - VN.z + VN.x = 0 \\- VF.y + VN.z - VF.x = 0 \\VF.y - VF.z - VN.x = 0 \end{cases}
generar lista: Sistema de ecuaciones con 2 ecuaciones y 2 incógnitas,CASES EQ SUM NEG MUL VN x E NEG MUL VF y E E VN EQ SUM NEG MUL VF y E NEG MUL VN x E E VN E
generar lista: polinomio de grado 2 con tres terminos,SUM MUL VD x E VD MUL VD POW x 2 E E
generar pseudolatex: Polinomio de grado seis incompleto,VNx^{6} + VFx^{3} + VFx^{2} + VNx + VN
generar pseudolatex: Polinomio de cuarto grado completo de cinco terminos,VD + VDx + VDx^{2} + VDx^{3} + VDx^{4}
"generar lista: sistema de 2 ecuaciones homogéneas con 2 variables, con coeficientes fraccionarios y coeficientes negativos",CASES EQ SUM NEG MUL VN x E NEG MUL VN y E E 0 EQ SUM NEG MUL VF x E NEG MUL VF y E E 0 E
"generar lista: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de grado 3 de 1.5, coeficiente de grado dos de 6.3, coeficiente grado 1 de 13.1 y termino independiente de 4",SUM 4 NEG MUL 6.3 POW x 2 E NEG MUL 1.5 POW x 3 E MUL 13.1 x E NEG MUL 38.3 POW x 4 E E
"generar pseudolatex: Sistema de dos ecuaciones con tres incógnitas x, y, z. La primer ecuación está incompleta con solo la variable z",\begin{cases} VN.z = VF \\VN.z + VF.x + VN.y = VN \end{cases}
"generar pseudolatex: Sist de 4 ecuaciones con 4 incognitas Sistema compatible determinado Variables= a, b, c, d. Homogeneo",\begin{cases} VF.d + VN.b - VF.c + VN.a = 0 \\- VF.d - VF.b - VF.c - VF.a = 0 \\- VF.d - VN.b - VN.c - VN.a = 0 \\VF.d - VN.b + VF.c + VF.a = 0 \end{cases}
generar pseudolatex: Un polinomio de grado cuatro incompleto con tres terminos,- VNx^{4} - VFx^{3} - VN
"generar lista: Polinomio de noveno grado incompleto desordenado, variable y, cinco términos, coeficiente principal -24",SUM NEG MUL -24 POW y 9 E NEG MUL VC POW y 7 E NEG MUL VN POW y 2 E MUL VN POW y 3 E NEG MUL VN y E E
generar pseudolatex: polinomio de grado cuatro con 5 terminos,VNx^{4} + VNx^{3} + VNx^{2} + VNx - VN
generar pseudolatex: Polinomio de sexto grado completo,VNx^{6} + VNx^{5} + VNx^{4} + VNx^{3} + VNx^{2} + VNx + VN
generar pseudolatex: Sistema de ecuaciones con 2 ecuaciones y 2 incógnitas,\begin{cases} - VN.x - VF.y = VN \\- VF.y - VN.x = VN \end{cases}
"generar pseudolatex: Polinomio de grado 2, ordenado y completo Coeficientes imaginarios",VC.x^{2} + VC.x + VC
generar pseudolatex: Polinomio de grado seis completo,- VNx - VNx^{2} - VN - VNx^{4} - VNx^{3} - VNx^{5} - VNx^{6}
generar pseudolatex: Un polinomio de quinto grado desordenado,VDx^{3} + VDx^{2} + VD + VDx + VDx^{4} + VDx^{5}
"generar pseudolatex: Sistema de ecuaciones con cuatro variables, dos ecuaciones y variables a,b,c y d. Las ecuaciones estan completas y desordenadas",\begin{cases} - VF.b - VF.a - VN.c - VN.d = VN \\- VN.b - VF.a + VN.d - VN.c = VF \end{cases}
generar pseudolatex: Polinomio completo de cuarto grado y con 5 términos,- VFx^{4} - VFx^{3} - VFx^{2} - VFx - VF
"generar pseudolatex: Polinomio de grado 8 completo, con coeficientes fraccionarios, con signos mixtos y en orden descendente",VFx^{8} - VFx^{7} - VFx^{6} + VFx^{5} - VFx^{4} - VFx^{3} + VFx^{2} - VFx - VF
generar lista: Sistema de ecuaciones de 3 incógnitas y 3 ecuaciones incompletas,CASES EQ SUM NEG MUL VF y E NEG MUL VF z E E VN EQ SUM MUL VN y E E VF EQ SUM NEG MUL VF x E MUL VF z E MUL VF y E E VN E
generar pseudolatex: Polinomio completo de tercer grado,VR + VRx + VRx^{2} + VRx^{3}
"generar lista: Polinomio de grado 15, con 7 términos, y todos ellos restando",SUM NEG MUL VN POW x 10 E NEG MUL VN POW x 9 E NEG MUL VN POW x 8 E NEG MUL VF POW x 3 E NEG MUL VN POW x 4 E NEG VN NEG MUL VF POW x 15 E E
"generar pseudolatex: Polinomio de quinto grado, incompleto y la variable es z",VNz + VNz^{4} + VNz^{5} - VC
generar pseudolatex: Sistema de tres ecuaciones y tres variables. El sistema es completo y en desorden. Todos los coeficientes de las x son positivos,\begin{cases} - VN.y + VF.x + VF.z = VN \\- VF.z + VF.x + VN.y = VF \\- VF.y - VN.z + VN.x = VN \end{cases}
generar pseudolatex: expresion polinomica de quinto grado con seis terminos,- VFx^{5} + VFx^{4} + VFx^{3} + VFx^{2} + VFx - VF
generar pseudolatex: Polinomio de grado tres Completo,VRx^{3} + VRx^{2} + VRx + VR
generar pseudolatex: Sistema de ecuaciones con tres ecuaciones y tres incógnitas,\begin{cases} - VF.y + VN.x - VN.z = VF \\VF.y - VN.x + VN.z = VN \\- VN.y - VF.x + VN.z = VF \end{cases}
generar lista: Sistema de ecuaciones con x e y como variables,CASES EQ SUM NEG MUL VF y E NEG MUL VN x E E 0 EQ SUM NEG MUL VN y E NEG MUL VN x E E 0 E
generar pseudolatex: Sistema homogeneo de tres ecuaciones lineales con tres incognitas,\begin{cases} VF.y - VN.z + VF.x = 0 \\- VN.y - VN.x - VF.z = 0 \\- VN.z + VF.x + VF.y = 0 \end{cases}
"generar pseudolatex: Es un polinomio completo, ordenado, con constantes complejas, y octavo grado",- VC.x^{2} - VC - VC.x^{8} - VC.x^{4} - VC.x^{5} - VC.x - VC.x^{7} - VC.x^{6} - VC.x^{3}
"generar pseudolatex: Polinomio lineal, completo con dos términos",- VRx + VR
"generar lista: Sistema de tres ecuaciones con tres variables, con los coeficientes de la primer variable(x) nulos en la segunda y tercera ecuacion, los de la segunda (y) en la primera y los de la tercera(z) nulos en la tercer ecuacion",CASES EQ SUM MUL VN z E NEG MUL VF x E E VF EQ SUM NEG MUL VF z E NEG MUL VF y E E VN EQ SUM NEG MUL VF y E E VN E
generar lista: Polinomio incompleto tercer grado de un termino,SUM MUL VF POW z 3 E E
"generar pseudolatex: Polinomio con coeficientes complejo y naturales, de noveno grado e incompleto. Tiene 5 términos",- VC.z^{4} - VNz^{8} + VC.z^{6} - VNz^{9} + VN
"generar lista: Polinimio completo, desordenado de grado 6 con coeficientes decimales",SUM NEG MUL VD POW x 4 E NEG MUL VD POW x 6 E VD NEG MUL VD POW x 2 E NEG MUL VD POW x 5 E MUL VD x E NEG MUL VD POW x 3 E E
generar lista: Polinomio de grado 13 incompleto con Coeficiente de números complejos negativos. Solo tiene termino principal,SUM NEG MUL VC POW y 13 E E
"generar lista: Polinomio desordenado, completo de grado seis con todos sus coeficientes negativos y casi todos fraccionarios",SUM NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 5 E NEG MUL VR POW x 3 E NEG MUL VR POW x 6 E NEG VR E
"generar pseudolatex: Sistema de ecuaciones de 3x4. Variables: d, a, b, c Ecuaciones igualadas a 29, 11, 42 respectivamente  Orden de variables en cada ecuación:   d, a, b, c = 29 a, d, c, b = 11 a, b, d, c = 42",\begin{cases} VN.d + VF.a + VF.b + VF.c = VN \\- VN.a - VN.d + VF.c + VN.b = VN \\VN.a + VN.b + VN.d + VN.c = VN \end{cases}
generar lista: Sistema homogéneo de dos ecuaciones y dos incógnitas usando coeficientes enteros escritos de forma fraccionaria,CASES EQ SUM MUL VF y E MUL VF x E E 0 EQ SUM MUL VN y E MUL VF x E E 0 E
generar pseudolatex: Polinomio de cuarto grado completo,VN + VNx + VNx^{2} + VNx^{3} + VNx^{4}
generar lista: Polinomio en orden ascendente de potencias de quinto grado con valores fraccionarios,SUM VF NEG MUL VF x E MUL VF POW x 2 E MUL VF POW x 3 E NEG MUL VF POW x 4 E NEG MUL VF POW x 5 E E
"generar pseudolatex: Polinomio de grado ocho completo, con 9 términos, está en orden",VRx^{8} + VRx^{7} + VRx^{6} + VRx^{5} + VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR
"generar lista: Un polinomio incompleto cuadrático con números negativos. Le falta el término lineal y la variable es ""y""",SUM NEG VN NEG MUL VC POW y 2 E E
"generar lista: Polinomio de grado 8, completo, con 9 términos",SUM NEG MUL VN POW x 2 E MUL VN POW x 3 E NEG MUL VN x E MUL VN POW x 4 E NEG VN NEG MUL VN POW x 7 E MUL VN POW x 8 E MUL VN POW x 5 E NEG MUL VN POW x 6 E E
"generar lista: Polinomio de grado 9, incompleto y desordenado  Coeficiente enteros e imaginarios",SUM NEG MUL VC POW z 4 E NEG MUL VN POW z 8 E MUL VC POW z 6 E NEG MUL VN POW z 9 E VN E
"generar lista: Polinomio ordenado y completo de grado 10, con variable x y coeficientes racionales y enteros",SUM MUL VR POW x 10 E MUL VR POW x 9 E NEG MUL VR POW x 8 E MUL VR POW x 7 E NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E MUL VR POW x 4 E MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E
generar pseudolatex: Polinomio de octavo grado,VD + VDx - VDx^{2} - VDx^{3} - VDx^{4} + VDx^{5} + VDx^{6} - VDx^{7} + VDx^{8}
generar pseudolatex: Polinomio grado 1 completo con indeterminada x ,VN + VNx
"generar pseudolatex: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de tercer grado de 1.5, coeficiente de grado dos de 6.3, coeficiente primer grado de 13.1 y termino independiente de 4",VD - VDx^{2} - VDx^{3} + VDx - VDx^{4}
"generar lista: un polinomio de siete términos completo, de grado seis siendo las constantes que acompañan a las variables números naturales",SUM MUL VN POW x 4 E VN MUL VN x E MUL VN POW x 3 E MUL VN POW x 6 E MUL VN POW x 5 E MUL VN POW x 2 E E
"generar lista: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de 3er grado de 1.5, coeficiente de grado dos de 6.3, coeficiente grado uno de 13.1 y termino independiente de 4",SUM 4 NEG MUL 6.3 POW x 2 E NEG MUL 1.5 POW x 3 E MUL 13.1 x E NEG MUL 38.3 POW x 4 E E
"generar lista: Polinomio de grado cinco, hay números complejos, en desorden, 3 términos",SUM NEG MUL VC y E VN MUL VC POW y 5 E E
generar pseudolatex: Polinomio de quinto grado incompleto,VFz^{5} + VNz^{2}
generar pseudolatex: Polinomio completo de tercer grado con algunos coeficientes fraccionarios y otros decimales,VR + VRx + VRx^{2} + VRx^{3}
generar pseudolatex: Polinomio de segundo grado en variable z,VF - VFz^{2}
generar lista: Polinomio de grado cuatro completo,SUM NEG MUL VC POW x 3 E MUL VC POW x 4 E NEG MUL VC POW x 2 E NEG VC NEG MUL VC x E E
generar pseudolatex: Un polinomio de 4to grado con coeficientes enteros negativos. Es completo y desordenado,- VNx^{3} - VN - VNx^{2} - VNx - VNx^{4}
generar lista: Sistema de ecuaciones con 2 ecuaciones y 4 incógnitas. Ambas ecuaciones están completas,CASES EQ SUM NEG MUL VF d E NEG MUL VF b E NEG MUL VF c E NEG MUL VN a E E VF EQ SUM MUL VF b E MUL VN a E NEG MUL VN d E NEG MUL VN c E E VF E
generar pseudolatex: Polinomio con coeficiente lineal cuatro e independiente 16,VNx + VN
"generar lista: Una expresión polinomica de grado 4, con coeficiente principal 38.3, coeficiente de tercer grado de 1.5, coeficiente de grado 2 de 6.3, coeficiente grado uno de 13.1 y termino independiente de 4",SUM 4 NEG MUL 6.3 POW x 2 E NEG MUL 1.5 POW x 3 E MUL 13.1 x E NEG MUL 38.3 POW x 4 E E
"generar lista: Polinomio con coeficientes complejo y naturales, de noveno grado e incompleto. Tiene cinco términos",SUM NEG MUL VC POW z 4 E NEG MUL VN POW z 8 E MUL VC POW z 6 E NEG MUL VN POW z 9 E VN E
generar pseudolatex: Sistema de ecuaciones con dos ecuaciones y cuatro incógnitas. Ambas ecuaciones están completas,\begin{cases} - VF.d - VF.b - VF.c - VN.a = VF \\VF.b + VN.a - VN.d - VN.c = VF \end{cases}
generar pseudolatex: Polinomio de quinto grado Coeficientes decimales Coeficiente Independiente=5.8 seis términos,VDx^{5} + VDx^{4} + VDx^{3} + VDx^{2} + VDx + VD
generar pseudolatex: polinomio de grado 6 completo compuesto de coeficientes racionales y decimales,VRx^{2} + VRx^{3} + VRx^{6} + VRx^{4} + VR + VRx + VRx^{5}
generar pseudolatex: Binomio lineal completo. El coeficiente del término principal es fraccionario negativo,- VRx + VR
generar lista: Polinomio de grado 5 de coeficientes positivos y completo. Está en orden,SUM VN MUL VN x E MUL VN POW x 2 E MUL VN POW x 3 E MUL VN POW x 4 E MUL VN POW x 5 E E
"generar pseudolatex: Polinomio con 2 coeficientes fraccionarios y uno entero, de grado nueve incompleto",- VFy^{5} - VN + VFy^{9}
generar lista: Polinomio de primer grado y numeros negativos,SUM NEG MUL VR x E NEG VR E
generar pseudolatex: Sistema de ecuaciones con dos ecuaciones y 4 incógnitas. Ambas ecuaciones están completas,\begin{cases} - VF.d - VF.b - VF.c - VN.a = VF \\VF.b + VN.a - VN.d - VN.c = VF \end{cases}
generar pseudolatex: Polinomio de grado dos incompleto,VC.y^{2}
"generar pseudolatex: Polinomio con dos coeficientes fraccionarios y uno entero, de grado nueve incompleto",- VFy^{5} - VN + VFy^{9}
generar pseudolatex: Polinomio de décimo grado,- VRx^{4} - VR + VRx^{3} - VRx + VRx^{9} - VRx^{10} + VRx^{7} - VRx^{5} - VRx^{6} - VRx^{2} + VRx^{8}
generar lista: Monomio de grado 1 con coeficiente fraccionario positivo,SUM MUL VF x E E
"generar lista: polinomio de cuarto grado incompleto con 1 termino de coeficiente negativo y variable ""y""",SUM NEG MUL VN POW y 4 E E
generar lista: Polinomio fraccionario de séptimo grado completo,SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E NEG MUL VR POW x 6 E NEG MUL VR POW x 7 E E
generar pseudolatex: Polinomio con variable y de primer grado Coeficiente principal menos 16,- VNy
generar pseudolatex: Polinomio octavo grado,- VNx^{8}
generar lista: sistema de dos ecuaciones y 3 incognitas,CASES EQ SUM MUL VN x E MUL VN y E MUL VN z E E VF EQ SUM NEG MUL VN z E MUL VN y E NEG MUL VF x E E VN E
generar pseudolatex: Polinomio de grado 4 completo,- VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR
generar lista: Polinomio complejo de grado 5,SUM MUL VC POW x 5 E NEG MUL VC POW x 4 E NEG MUL VC POW x 3 E MUL VC POW x 2 E NEG MUL VC x E VC E
"generar lista: Monomio de primer grado con coeficiente natural, usando ""y"" como variable",SUM MUL VN y E E
"generar lista: Polinomio de grado tres , incompleto",SUM NEG MUL VN z E NEG MUL VF POW z 3 E E
"generar lista: Polinomios de coeficientes reales, ordenados de mayor a menor grado, a excepción del grado 9,8 y 4",SUM MUL VF POW x 14 E MUL VN POW x 13 E MUL VF POW x 12 E MUL VN POW x 11 E MUL VF POW x 10 E MUL VN POW x 7 E MUL VF POW x 6 E MUL VF POW x 5 E MUL VN POW x 3 E MUL VN POW x 2 E MUL VN x E VN E
generar lista: Monomio de segundo grado de coeficiente -7,SUM NEG MUL 7 POW z 2 E E
generar lista: Polinomio incompleto de grado diez con 3 terminos,SUM MUL VN POW y 9 E MUL VF POW y 10 E NEG MUL VF POW y 7 E E
generar pseudolatex: Polinomio de cuarto grado con solo el termino principal. El coeficiente principal es cinco y la variable es y,VNy^{4}
generar lista: un polinomio de grado 2 completo,SUM MUL VD POW x 2 E MUL VD x E VD E
"generar pseudolatex: Sistema de ecuaciones compatible indeterminado, dos ecuaciones y 3 incógnitas",\begin{cases} VN.z + VN.y + VF.x = VF \\VN.y + VF.z - VN.x = VN \end{cases}
"generar pseudolatex: Sistema de ecuaciones lineal, no ordenado, de cuatro ecuaciones y cuatro incógnitas.",\begin{cases} - VN.c = VF.a - VF.b + VF \\VN = VN.b - VN.d + VN.a \\VF = VN.b + VF.d \\- VF.b + VF.d + VF.a = - VF.c + VF \end{cases}
"generar pseudolatex: Polinomio de grado ocho completo, con nueve términos, está en orden",VRx^{8} + VRx^{7} + VRx^{6} + VRx^{5} + VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR
generar pseudolatex: Polinomio de cuarto grado completo,- VDx^{4} + VDx^{3} - VDx^{2} + VDx - VD
generar pseudolatex: polinomio de grado 6 completo,VFx^{4} + VFx^{3} + VFx^{6} - VFx^{5} + VF - VFx + VFx^{2}
generar pseudolatex: Polinomio de potencia mayor 8,VC.x^{8} + VC.x^{7} + VC.x^{6} + VC.x^{5} + VC.x^{4} + VC.x^{3} + VC.x^{2} + VC.x + VC
"generar pseudolatex: Un polinomio completo de grado nueve sin orden. Los coeficientes son todo positivos, de tipo fraccionarios, enteros y decimales",VRx^{4} + VRx + VRx^{6} + VRx^{7} + VRx^{5} + VRx^{2} + VRx^{3} + VRx^{8} + VRx^{9} + VR
"generar pseudolatex: Sistema homogéneo de tres ecuaciones y dos incógnitas (y,z)",\begin{cases} - VN.z = 0 \\VF.y - VF.z = 0 \\- VN.y + VF.z = 0 \end{cases}
generar pseudolatex: Polinomio desordenado  Grado 5 Incompleto (falta termino de grado 4) Coeficiente independiente (-6/4),VNy^{2} + VNy^{3} - VFy - VF + VFy^{5}
"generar lista: polinomio de grado 6 con coeficiente principal -149, de dos términos",SUM NEG MUL 149 POW x 6 E NEG MUL VF POW x 3 E E
generar pseudolatex: Monomio con coeficientes 39,VN + VNx
